parameter,value
"Total consumption",6825.802
"Sum of all exports",1190.967
"Sum of all respiratory flows",2439.863
"Sum of all flows into detritus",3963.486
"Total system throughput",14420.12
"Sum of all production",5322.833
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006383622
"Calculated total net primary production",3577.31
"Total primary production/total respiration",1.466193
"Net system production",1137.448
"Total primary production/total biomass",8.300671
"Total biomass/total throughput",0.02988647
"Total biomass (excluding detritus)",430.9664
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000588
"Total market value",2.14144
"Total shadow value",0.06643992
"Total value",2.20788
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4947284
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028265
