parameter,value
"Total consumption",6754.598
"Sum of all exports",1115.276
"Sum of all respiratory flows",2411.881
"Sum of all flows into detritus",3827.017
"Total system throughput",14108.77
"Sum of all production",5203.444
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006577362
"Calculated total net primary production",3471.938
"Total primary production/total respiration",1.439515
"Net system production",1060.058
"Total primary production/total biomass",8.045848
"Total biomass/total throughput",0.03058517
"Total biomass (excluding detritus)",431.5192
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003269
"Total market value",2.14144
"Total shadow value",0.07452406
"Total value",2.215964
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5028127
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033485
