GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001013401,0.05083882,6.225635,0,0.008166047,0,0,0,0,0.05083882,1
2,Salmon_sharks,0.2246832,0.09859712,5.865162,0.5178871,0.01681064,0.05106218,0,0,0,0.04753494,0.4821129
3,Resident_orca,0.01512055,0.05024622,8.518908,0,0.0058982,0,0,0,0,0.05024622,1
4,Sleeper_sharks,0.1122902,0.07118078,3.838464,0,0.01854408,0,0,0,0,0.07118078,1
5,Halibut,0.6607428,0.3222823,1.736724,0.2624111,0.1855691,0.02594735,0.05862311,0,0,0.2377118,0.9194888
6,Pinnipeds,0.0731441,0.06106998,25.28296,0.8107308,0.002415461,0.009020235,0.04049107,0,0,0.01155867,0.8522967
7,Porpoise,0.01473643,0.1517439,28.94318,0.9695669,0.005242822,0.0002733307,0.1468526,0,0,0.004618032,0.9981987
8,Lingcod,0.0755252,0.5700364,3.262396,0.8745837,0.1747294,0.02103205,0.4775125,0,0,0.07149184,0.963104
9,Arrowtooth_L,3.925891,0.2601251,1.433004,0.1420825,0.1815244,0.0003718626,0.03658737,0,0,0.2231659,0.9985704
10,Salmon_L,3.517243,1.496887,11.85228,0.6789336,0.1262952,0.5286868,0.4875999,0,0,0.4806,0.6468091
11,Pacific_cod,0.2971452,1.193127,3.834428,0.6943899,0.3111616,0.2232992,0.6051959,0,0,0.3646316,0.8128453
12,Sablefish,0.4892524,0.5678862,6.369873,0.8356839,0.08915189,0.03824265,0.4363307,0,0,0.09331285,0.9326579
13,Arrowtooth_S,0.2485928,0.2145154,3.227724,0.9120555,0.06646026,0,0.1956499,0,0,0.01886545,1
14,Spiny_dogfish,0.1587538,0.09236288,2.976305,0.7291921,0.03103273,0,0.06735029,0,0,0.02501259,1
15,Avian_raptors,0.00329397,0.04966652,36.849,0,0.001347839,0,0,0,0,0.04966652,1
16,Octopods,0.1575169,3.048659,11.8779,0.9569818,0.2566665,0.001467064,2.916044,0,0,0.1311477,0.9995188
17,Seabirds,0.02225682,0.1687623,152.9432,0.6775694,0.001103431,0,0.1143482,0,0,0.05441412,1
18,Deep_demersals,0.9922161,0.9695712,3.284363,0.9820767,0.2952083,0.002723071,0.9494702,0,0,0.01737791,0.9971915
19,Pollock_L,4.955691,1.301461,2.661062,0.563584,0.489076,0.03288018,0.7006026,0,0,0.5679786,0.974736
20,Rockfish,1.049128,0.2944041,3.563091,0.7816608,0.08262604,0.01306708,0.217057,0,0,0.06427995,0.9556152
21,Baleen_whales,0.1497998,0.04985109,10.54878,0.08046907,0.00472577,0,0.004011471,0,0,0.04583962,1
22,Salmon_fry_S,0.7908134,2.202872,27.24458,0.1710265,0.08085541,0,0.3767493,0,0,1.826122,1
23,Nshore_demersal,4.200951,1.011673,4.287876,0.7845906,0.235938,3.825091E-05,0.7937108,0,0,0.2179239,0.9999622
24,Squids,3.031518,3.051659,15.05886,0.908586,0.2026487,3.866198E-05,2.772656,0,0,0.2789643,0.9999873
25,Eulachon,1.083917,2.49427,17.73182,0.6887569,0.1406663,0.0001205381,1.717825,0,0,0.7763242,0.9999517
26,Sea_otters,0.04157491,0.1294222,117.7522,0.005616987,0.001099106,4.269979E-06,0.0007226926,0,0,0.1286952,0.999967
27,Deep_epibenthos,30.13237,2.988882,9.960368,0.939785,0.3000775,0.0001551422,2.808752,0,0,0.1799755,0.9999481
28,Capelin,0.4508759,3.373045,18.49029,0.5648996,0.1824225,0.0001423693,1.90529,0,0,1.467613,0.9999578
29,Herring_L,2.948628,0.3867427,3.389891,0.9833105,0.1140871,0.0003576956,0.3799304,0,0,0.006454558,0.9990751
30,Pollock_S,0.623095,2.356892,7.481369,0.3774827,0.3150349,0,0.8896858,0,0,1.467206,1
31,Invert_eat_seaduck,0.000275247,0.2005281,149.365,0.7529063,0.001342538,0,0.1509789,0,0,0.04954924,1
32,Oystercatchers,0.000301979,0.2934165,147.4573,0.9589422,0.00198984,0,0.2813695,0,0,0.01204703,1
