parameter,value
"Total consumption",6803.493
"Sum of all exports",1123.311
"Sum of all respiratory flows",2463.646
"Sum of all flows into detritus",3844.624
"Total system throughput",14235.07
"Sum of all production",5240.66
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006466521
"Calculated total net primary production",3531.449
"Total primary production/total respiration",1.433424
"Net system production",1067.804
"Total primary production/total biomass",8.205326
"Total biomass/total throughput",0.03023413
"Total biomass (excluding detritus)",430.385
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002399
"Total market value",2.14144
"Total shadow value",0.07083435
"Total value",2.212274
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.499123
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032691
