parameter,value
"Total consumption",6698.371
"Sum of all exports",1146.07
"Sum of all respiratory flows",2385.953
"Sum of all flows into detritus",3849.161
"Total system throughput",14079.55
"Sum of all production",5199.532
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006569301
"Calculated total net primary production",3476.198
"Total primary production/total respiration",1.456944
"Net system production",1090.246
"Total primary production/total biomass",8.087017
"Total biomass/total throughput",0.03053004
"Total biomass (excluding detritus)",429.8493
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002314
"Total market value",2.14144
"Total shadow value",0.07117035
"Total value",2.21261
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994589
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034781
