parameter,value
"Total consumption",6701.931
"Sum of all exports",1075.566
"Sum of all respiratory flows",2410.84
"Sum of all flows into detritus",3800.933
"Total system throughput",13989.27
"Sum of all production",5131.999
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006654897
"Calculated total net primary production",3431.487
"Total primary production/total respiration",1.423358
"Net system production",1020.647
"Total primary production/total biomass",7.951348
"Total biomass/total throughput",0.03084939
"Total biomass (excluding detritus)",431.5604
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999625
"Total market value",2.14144
"Total shadow value",0.07414046
"Total value",2.21558
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5024291
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033404
