parameter,value
"Total consumption",6833.247
"Sum of all exports",1147.773
"Sum of all respiratory flows",2429.819
"Sum of all flows into detritus",3925.087
"Total system throughput",14335.93
"Sum of all production",5283.924
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006482574
"Calculated total net primary production",3522.705
"Total primary production/total respiration",1.449781
"Net system production",1092.885
"Total primary production/total biomass",8.119516
"Total biomass/total throughput",0.03026358
"Total biomass (excluding detritus)",433.8565
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005152
"Total market value",2.14144
"Total shadow value",0.07199933
"Total value",2.213439
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5002879
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034647
