parameter,value
"Total consumption",6714.848
"Sum of all exports",1214.375
"Sum of all respiratory flows",2372.438
"Sum of all flows into detritus",3950.138
"Total system throughput",14251.8
"Sum of all production",5278.252
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.00064655
"Calculated total net primary production",3532.008
"Total primary production/total respiration",1.488767
"Net system production",1159.57
"Total primary production/total biomass",8.259626
"Total biomass/total throughput",0.03000486
"Total biomass (excluding detritus)",427.6232
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001203
"Total market value",2.14144
"Total shadow value",0.06813754
"Total value",2.209578
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4964262
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032111
