parameter,value
"Total consumption",6751.154
"Sum of all exports",1098.19
"Sum of all respiratory flows",2445.307
"Sum of all flows into detritus",3803.069
"Total system throughput",14097.72
"Sum of all production",5183.943
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006546998
"Calculated total net primary production",3488.041
"Total primary production/total respiration",1.426422
"Net system production",1042.733
"Total primary production/total biomass",8.161345
"Total biomass/total throughput",0.03031593
"Total biomass (excluding detritus)",427.3855
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20036
"Total market value",2.14144
"Total shadow value",0.07119034
"Total value",2.21263
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994789
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035062
