parameter,value
"Total consumption",6783.841
"Sum of all exports",1094.384
"Sum of all respiratory flows",2441.348
"Sum of all flows into detritus",3874.566
"Total system throughput",14194.14
"Sum of all production",5198.531
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006561717
"Calculated total net primary production",3480.216
"Total primary production/total respiration",1.425531
"Net system production",1038.868
"Total primary production/total biomass",8.083861
"Total biomass/total throughput",0.03033041
"Total biomass (excluding detritus)",430.5141
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004106
"Total market value",2.14144
"Total shadow value",0.07448553
"Total value",2.215925
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5027741
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033685
