parameter,value
"Total consumption",6786.83
"Sum of all exports",1228.653
"Sum of all respiratory flows",2391.579
"Sum of all flows into detritus",3994.311
"Total system throughput",14401.37
"Sum of all production",5335.434
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000640453
"Calculated total net primary production",3565.631
"Total primary production/total respiration",1.490911
"Net system production",1174.052
"Total primary production/total biomass",8.292995
"Total biomass/total throughput",0.02985528
"Total biomass (excluding detritus)",429.957
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000313
"Total market value",2.14144
"Total shadow value",0.07112534
"Total value",2.212565
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994138
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029651
