parameter,value
"Total consumption",6741.215
"Sum of all exports",1131.007
"Sum of all respiratory flows",2381.627
"Sum of all flows into detritus",3865.979
"Total system throughput",14119.83
"Sum of all production",5212.003
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006604273
"Calculated total net primary production",3457.791
"Total primary production/total respiration",1.451861
"Net system production",1076.164
"Total primary production/total biomass",8.007758
"Total biomass/total throughput",0.03058147
"Total biomass (excluding detritus)",431.8051
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001555
"Total market value",2.14144
"Total shadow value",0.07290892
"Total value",2.214349
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5011975
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034555
