parameter,value
"Total consumption",6768.531
"Sum of all exports",1202.413
"Sum of all respiratory flows",2450.157
"Sum of all flows into detritus",3939.696
"Total system throughput",14360.8
"Sum of all production",5299.105
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006346593
"Calculated total net primary production",3598.181
"Total primary production/total respiration",1.468552
"Net system production",1148.025
"Total primary production/total biomass",8.366931
"Total biomass/total throughput",0.02994596
"Total biomass (excluding detritus)",430.0479
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004569
"Total market value",2.14144
"Total shadow value",0.07305554
"Total value",2.214495
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5013441
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.04139
