parameter,value
"Total consumption",6714.502
"Sum of all exports",1125.746
"Sum of all respiratory flows",2413.777
"Sum of all flows into detritus",3862.879
"Total system throughput",14116.9
"Sum of all production",5188.685
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006554089
"Calculated total net primary production",3484.267
"Total primary production/total respiration",1.443491
"Net system production",1070.489
"Total primary production/total biomass",8.153542
"Total biomass/total throughput",0.03027092
"Total biomass (excluding detritus)",427.3317
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999369
"Total market value",2.14144
"Total shadow value",0.07063092
"Total value",2.212071
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4989196
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032948
