parameter,value
"Total consumption",6833.801
"Sum of all exports",1170.841
"Sum of all respiratory flows",2443.677
"Sum of all flows into detritus",3945.039
"Total system throughput",14393.36
"Sum of all production",5306.799
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006412069
"Calculated total net primary production",3561.439
"Total primary production/total respiration",1.45741
"Net system production",1117.762
"Total primary production/total biomass",8.241045
"Total biomass/total throughput",0.03002487
"Total biomass (excluding detritus)",432.1587
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003589
"Total market value",2.14144
"Total shadow value",0.07226256
"Total value",2.213702
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005511
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032501
