parameter,value
"Total consumption",6817.087
"Sum of all exports",1092.521
"Sum of all respiratory flows",2455.618
"Sum of all flows into detritus",3860.11
"Total system throughput",14225.34
"Sum of all production",5216.835
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006539632
"Calculated total net primary production",3491.969
"Total primary production/total respiration",1.422033
"Net system production",1036.351
"Total primary production/total biomass",8.113515
"Total biomass/total throughput",0.03025512
"Total biomass (excluding detritus)",430.3892
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003549
"Total market value",2.14144
"Total shadow value",0.07176425
"Total value",2.213204
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000528
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03239
