parameter,value
"Total consumption",6778.211
"Sum of all exports",1022.494
"Sum of all respiratory flows",2432.174
"Sum of all flows into detritus",3770.768
"Total system throughput",14003.65
"Sum of all production",5124.253
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006718004
"Calculated total net primary production",3399.253
"Total primary production/total respiration",1.397619
"Net system production",967.0789
"Total primary production/total biomass",7.948013
"Total biomass/total throughput",0.03054103
"Total biomass (excluding detritus)",427.6858
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001985
"Total market value",2.14144
"Total shadow value",0.07131892
"Total value",2.212759
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996074
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031165
