parameter,value
"Total consumption",6683.076
"Sum of all exports",1112.1
"Sum of all respiratory flows",2382.054
"Sum of all flows into detritus",3834.938
"Total system throughput",14012.17
"Sum of all production",5158.934
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006638473
"Calculated total net primary production",3439.977
"Total primary production/total respiration",1.444122
"Net system production",1057.924
"Total primary production/total biomass",8.013188
"Total biomass/total throughput",0.03063691
"Total biomass (excluding detritus)",429.2895
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200347
"Total market value",2.14144
"Total shadow value",0.06957283
"Total value",2.211013
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4978615
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033638
