parameter,value
"Total consumption",6901.707
"Sum of all exports",1154.018
"Sum of all respiratory flows",2513.443
"Sum of all flows into detritus",3915.347
"Total system throughput",14484.52
"Sum of all production",5330.708
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006321967
"Calculated total net primary production",3612.198
"Total primary production/total respiration",1.437151
"Net system production",1098.755
"Total primary production/total biomass",8.37623
"Total biomass/total throughput",0.02977275
"Total biomass (excluding detritus)",431.2438
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005038
"Total market value",2.14144
"Total shadow value",0.07121757
"Total value",2.212657
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995061
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036407
