parameter,value
"Total consumption",6766.475
"Sum of all exports",1206.672
"Sum of all respiratory flows",2418.193
"Sum of all flows into detritus",3930.512
"Total system throughput",14321.85
"Sum of all production",5304.151
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000639428
"Calculated total net primary production",3571.347
"Total primary production/total respiration",1.476866
"Net system production",1153.154
"Total primary production/total biomass",8.28765
"Total biomass/total throughput",0.03008856
"Total biomass (excluding detritus)",430.924
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004827
"Total market value",2.14144
"Total shadow value",0.07225689
"Total value",2.213697
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005454
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036273
