parameter,value
"Total consumption",6761.285
"Sum of all exports",1206.403
"Sum of all respiratory flows",2400.097
"Sum of all flows into detritus",3923.243
"Total system throughput",14291.03
"Sum of all production",5297.317
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006429617
"Calculated total net primary production",3551.719
"Total primary production/total respiration",1.479823
"Net system production",1151.622
"Total primary production/total biomass",8.26376
"Total biomass/total throughput",0.03007443
"Total biomass (excluding detritus)",429.7946
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003319
"Total market value",2.14144
"Total shadow value",0.07444771
"Total value",2.215888
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5027362
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03527
