parameter,value
"Total consumption",6746.584
"Sum of all exports",1136.695
"Sum of all respiratory flows",2396.841
"Sum of all flows into detritus",3925.416
"Total system throughput",14205.54
"Sum of all production",5220.337
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006562946
"Calculated total net primary production",3479.564
"Total primary production/total respiration",1.451729
"Net system production",1082.723
"Total primary production/total biomass",8.077874
"Total biomass/total throughput",0.03032286
"Total biomass (excluding detritus)",430.7525
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003895
"Total market value",2.14144
"Total shadow value",0.07035374
"Total value",2.211794
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4986423
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.026902
