parameter,value
"Total consumption",6861.312
"Sum of all exports",1053.976
"Sum of all respiratory flows",2476.093
"Sum of all flows into detritus",3832.829
"Total system throughput",14224.21
"Sum of all production",5206.572
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006570271
"Calculated total net primary production",3475.686
"Total primary production/total respiration",1.403698
"Net system production",999.593
"Total primary production/total biomass",8.053796
"Total biomass/total throughput",0.03033973
"Total biomass (excluding detritus)",431.5587
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003103
"Total market value",2.14144
"Total shadow value",0.0688362
"Total value",2.210276
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4971248
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032491
