parameter,value
"Total consumption",6708.173
"Sum of all exports",1103.405
"Sum of all respiratory flows",2406.814
"Sum of all flows into detritus",3805.921
"Total system throughput",14024.31
"Sum of all production",5163.754
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006608487
"Calculated total net primary production",3455.586
"Total primary production/total respiration",1.435751
"Net system production",1048.772
"Total primary production/total biomass",8.025876
"Total biomass/total throughput",0.03070066
"Total biomass (excluding detritus)",430.5556
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000263
"Total market value",2.14144
"Total shadow value",0.06948878
"Total value",2.210929
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4977773
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03369
