parameter,value
"Total consumption",6822.473
"Sum of all exports",1134.693
"Sum of all respiratory flows",2460.861
"Sum of all flows into detritus",3906.986
"Total system throughput",14325.01
"Sum of all production",5264.098
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006450814
"Calculated total net primary production",3540.048
"Total primary production/total respiration",1.43854
"Net system production",1079.187
"Total primary production/total biomass",8.249757
"Total biomass/total throughput",0.02995525
"Total biomass (excluding detritus)",429.1094
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001595
"Total market value",2.14144
"Total shadow value",0.06958654
"Total value",2.211026
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4978751
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032632
