parameter,value
"Total consumption",6725.124
"Sum of all exports",1167.989
"Sum of all respiratory flows",2373.921
"Sum of all flows into detritus",3840.054
"Total system throughput",14107.09
"Sum of all production",5238.833
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006548061
"Calculated total net primary production",3487.474
"Total primary production/total respiration",1.469077
"Net system production",1113.553
"Total primary production/total biomass",8.117112
"Total biomass/total throughput",0.03045595
"Total biomass (excluding detritus)",429.6447
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005473
"Total market value",2.14144
"Total shadow value",0.07113382
"Total value",2.212574
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994224
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029373
