parameter,value
"Total consumption",6869.416
"Sum of all exports",1152.336
"Sum of all respiratory flows",2463.462
"Sum of all flows into detritus",3946.544
"Total system throughput",14431.76
"Sum of all production",5309.219
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006414854
"Calculated total net primary production",3559.893
"Total primary production/total respiration",1.445077
"Net system production",1096.431
"Total primary production/total biomass",8.218919
"Total biomass/total throughput",0.03001256
"Total biomass (excluding detritus)",433.134
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001013
"Total market value",2.14144
"Total shadow value",0.07326395
"Total value",2.214704
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5015525
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034001
