parameter,value
"Total consumption",6796.683
"Sum of all exports",1253.313
"Sum of all respiratory flows",2410.858
"Sum of all flows into detritus",3986.713
"Total system throughput",14447.57
"Sum of all production",5365.717
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006328447
"Calculated total net primary production",3608.499
"Total primary production/total respiration",1.496769
"Net system production",1197.64
"Total primary production/total biomass",8.399552
"Total biomass/total throughput",0.02973553
"Total biomass (excluding detritus)",429.606
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002662
"Total market value",2.14144
"Total shadow value",0.06967265
"Total value",2.211112
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4979612
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028983
