parameter,value
"Total consumption",6742.678
"Sum of all exports",1199.93
"Sum of all respiratory flows",2417.423
"Sum of all flows into detritus",3921.007
"Total system throughput",14281.04
"Sum of all production",5281.368
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006410764
"Calculated total net primary production",3562.164
"Total primary production/total respiration",1.473538
"Net system production",1144.741
"Total primary production/total biomass",8.309443
"Total biomass/total throughput",0.03001803
"Total biomass (excluding detritus)",428.6887
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004341
"Total market value",2.14144
"Total shadow value",0.07066506
"Total value",2.212105
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4989537
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036723
