parameter,value
"Total consumption",6782.092
"Sum of all exports",1265.606
"Sum of all respiratory flows",2423.788
"Sum of all flows into detritus",3998.905
"Total system throughput",14470.39
"Sum of all production",5370.605
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006282332
"Calculated total net primary production",3634.987
"Total primary production/total respiration",1.499713
"Net system production",1211.199
"Total primary production/total biomass",8.467244
"Total biomass/total throughput",0.02966747
"Total biomass (excluding detritus)",429.2998
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001887
"Total market value",2.14144
"Total shadow value",0.06839165
"Total value",2.209831
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4966801
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03259
