parameter,value
"Total consumption",6808.108
"Sum of all exports",1020.024
"Sum of all respiratory flows",2453.312
"Sum of all flows into detritus",3784.248
"Total system throughput",14065.69
"Sum of all production",5141.038
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006679732
"Calculated total net primary production",3418.729
"Total primary production/total respiration",1.393516
"Net system production",965.4175
"Total primary production/total biomass",7.897984
"Total biomass/total throughput",0.03077425
"Total biomass (excluding detritus)",432.861
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000652
"Total market value",2.14144
"Total shadow value",0.07149132
"Total value",2.212931
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4997798
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.024535
