parameter,value
"Total consumption",6715.363
"Sum of all exports",1106.297
"Sum of all respiratory flows",2398.936
"Sum of all flows into detritus",3834.068
"Total system throughput",14054.66
"Sum of all production",5169.959
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006620557
"Calculated total net primary production",3449.286
"Total primary production/total respiration",1.43784
"Net system production",1050.35
"Total primary production/total biomass",8.022847
"Total biomass/total throughput",0.03059005
"Total biomass (excluding detritus)",429.9329
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001545
"Total market value",2.14144
"Total shadow value",0.07219906
"Total value",2.213639
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5004877
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034279
