parameter,value
"Total consumption",6754.308
"Sum of all exports",1106.126
"Sum of all respiratory flows",2405.132
"Sum of all flows into detritus",3860.214
"Total system throughput",14125.78
"Sum of all production",5193.581
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006605938
"Calculated total net primary production",3456.919
"Total primary production/total respiration",1.437309
"Net system production",1051.787
"Total primary production/total biomass",8.046502
"Total biomass/total throughput",0.03041373
"Total biomass (excluding detritus)",429.6176
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005329
"Total market value",2.14144
"Total shadow value",0.07213937
"Total value",2.213579
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5004278
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03015
