parameter,value
"Total consumption",6717.29
"Sum of all exports",1066.361
"Sum of all respiratory flows",2406.004
"Sum of all flows into detritus",3825.535
"Total system throughput",14015.19
"Sum of all production",5133.814
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006677964
"Calculated total net primary production",3419.635
"Total primary production/total respiration",1.421292
"Net system production",1013.63
"Total primary production/total biomass",7.956978
"Total biomass/total throughput",0.03066427
"Total biomass (excluding detritus)",429.7655
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002628
"Total market value",2.14144
"Total shadow value",0.07475416
"Total value",2.216194
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5030428
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031998
