parameter,value
"Total consumption",6676.117
"Sum of all exports",1082.267
"Sum of all respiratory flows",2376.894
"Sum of all flows into detritus",3795.221
"Total system throughput",13930.5
"Sum of all production",5123.624
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006706386
"Calculated total net primary production",3405.142
"Total primary production/total respiration",1.432601
"Net system production",1028.248
"Total primary production/total biomass",7.963301
"Total biomass/total throughput",0.03069555
"Total biomass (excluding detritus)",427.6043
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002453
"Total market value",2.14144
"Total shadow value",0.06709105
"Total value",2.208531
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4953796
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029708
