parameter,value
"Total consumption",6739.68
"Sum of all exports",1167.878
"Sum of all respiratory flows",2397.27
"Sum of all flows into detritus",3899.349
"Total system throughput",14204.18
"Sum of all production",5248.049
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000650371
"Calculated total net primary production",3511.257
"Total primary production/total respiration",1.464689
"Net system production",1113.986
"Total primary production/total biomass",8.205355
"Total biomass/total throughput",0.03012653
"Total biomass (excluding detritus)",427.9226
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200471
"Total market value",2.14144
"Total shadow value",0.07260932
"Total value",2.214049
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.500898
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037674
