parameter,value
"Total consumption",6757.518
"Sum of all exports",1090.405
"Sum of all respiratory flows",2424.568
"Sum of all flows into detritus",3806.663
"Total system throughput",14079.15
"Sum of all production",5181.341
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006598826
"Calculated total net primary production",3460.645
"Total primary production/total respiration",1.427325
"Net system production",1036.077
"Total primary production/total biomass",8.05323
"Total biomass/total throughput",0.03052182
"Total biomass (excluding detritus)",429.7214
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000892
"Total market value",2.14144
"Total shadow value",0.07251327
"Total value",2.213953
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008019
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033981
