parameter,value
"Total consumption",6671.276
"Sum of all exports",1259.85
"Sum of all respiratory flows",2338.864
"Sum of all flows into detritus",3983.192
"Total system throughput",14253.18
"Sum of all production",5297.932
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006443535
"Calculated total net primary production",3544.048
"Total primary production/total respiration",1.515286
"Net system production",1205.184
"Total primary production/total biomass",8.275325
"Total biomass/total throughput",0.03004711
"Total biomass (excluding detritus)",428.2669
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003319
"Total market value",2.14144
"Total shadow value",0.07043918
"Total value",2.211879
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4987277
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036501
