parameter,value
"Total consumption",6741.363
"Sum of all exports",1146.217
"Sum of all respiratory flows",2402.855
"Sum of all flows into detritus",3853.327
"Total system throughput",14143.76
"Sum of all production",5226.082
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000653751
"Calculated total net primary production",3493.103
"Total primary production/total respiration",1.45373
"Net system production",1090.247
"Total primary production/total biomass",8.138132
"Total biomass/total throughput",0.03034741
"Total biomass (excluding detritus)",429.2266
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200255
"Total market value",2.14144
"Total shadow value",0.07008216
"Total value",2.211522
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983708
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031996
