parameter,value
"Total consumption",6784.914
"Sum of all exports",1177.551
"Sum of all respiratory flows",2420.926
"Sum of all flows into detritus",3884.614
"Total system throughput",14268
"Sum of all production",5284.715
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006444118
"Calculated total net primary production",3543.727
"Total primary production/total respiration",1.46379
"Net system production",1122.801
"Total primary production/total biomass",8.226043
"Total biomass/total throughput",0.03019298
"Total biomass (excluding detritus)",430.7936
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002909
"Total market value",2.14144
"Total shadow value",0.07127069
"Total value",2.212711
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995593
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031721
