parameter,value
"Total consumption",6813.127
"Sum of all exports",1165.37
"Sum of all respiratory flows",2452.34
"Sum of all flows into detritus",3939.336
"Total system throughput",14370.17
"Sum of all production",5288.583
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006409309
"Calculated total net primary production",3562.973
"Total primary production/total respiration",1.452887
"Net system production",1110.633
"Total primary production/total biomass",8.268317
"Total biomass/total throughput",0.02998702
"Total biomass (excluding detritus)",430.9187
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999693
"Total market value",2.14144
"Total shadow value",0.07004654
"Total value",2.211486
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.498335
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034434
