parameter,value
"Total consumption",6812.984
"Sum of all exports",1031.547
"Sum of all respiratory flows",2453.327
"Sum of all flows into detritus",3788.359
"Total system throughput",14086.22
"Sum of all production",5154.617
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006657004
"Calculated total net primary production",3430.401
"Total primary production/total respiration",1.398265
"Net system production",977.0742
"Total primary production/total biomass",7.981146
"Total biomass/total throughput",0.03051303
"Total biomass (excluding detritus)",429.8131
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999096
"Total market value",2.14144
"Total shadow value",0.07300412
"Total value",2.214444
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5012926
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031856
