parameter,value
"Total consumption",6768.281
"Sum of all exports",1011.381
"Sum of all respiratory flows",2426.499
"Sum of all flows into detritus",3753.844
"Total system throughput",13960.01
"Sum of all production",5108.069
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006751848
"Calculated total net primary production",3382.214
"Total primary production/total respiration",1.393866
"Net system production",955.7151
"Total primary production/total biomass",7.872235
"Total biomass/total throughput",0.03077637
"Total biomass (excluding detritus)",429.6383
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004345
"Total market value",2.14144
"Total shadow value",0.07048792
"Total value",2.211928
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4987766
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033057
