parameter,value
"Total consumption",6727.521
"Sum of all exports",1162.374
"Sum of all respiratory flows",2445.441
"Sum of all flows into detritus",3871.573
"Total system throughput",14206.91
"Sum of all production",5234.222
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006428258
"Calculated total net primary production",3552.47
"Total primary production/total respiration",1.452691
"Net system production",1107.028
"Total primary production/total biomass",8.3236
"Total biomass/total throughput",0.03004136
"Total biomass (excluding detritus)",426.7949
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003672
"Total market value",2.14144
"Total shadow value",0.07059213
"Total value",2.212032
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988807
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037532
