parameter,value
"Total consumption",6748.321
"Sum of all exports",1175.449
"Sum of all respiratory flows",2414.013
"Sum of all flows into detritus",3899.307
"Total system throughput",14237.09
"Sum of all production",5259.836
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006461827
"Calculated total net primary production",3534.015
"Total primary production/total respiration",1.463959
"Net system production",1120.002
"Total primary production/total biomass",8.236427
"Total biomass/total throughput",0.03013758
"Total biomass (excluding detritus)",429.0714
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200241
"Total market value",2.14144
"Total shadow value",0.07085451
"Total value",2.212294
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.499143
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038845
