parameter,value
"Total consumption",6780.822
"Sum of all exports",1189.278
"Sum of all respiratory flows",2428.538
"Sum of all flows into detritus",3955.925
"Total system throughput",14354.56
"Sum of all production",5293.279
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006408983
"Calculated total net primary production",3563.154
"Total primary production/total respiration",1.467201
"Net system production",1134.616
"Total primary production/total biomass",8.293612
"Total biomass/total throughput",0.0299296
"Total biomass (excluding detritus)",429.6263
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000334
"Total market value",2.14144
"Total shadow value",0.07016748
"Total value",2.211607
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4984561
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031349
