parameter,value
"Total consumption",6725.08
"Sum of all exports",1171.677
"Sum of all respiratory flows",2408.602
"Sum of all flows into detritus",3892.66
"Total system throughput",14198.02
"Sum of all production",5242.595
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006477987
"Calculated total net primary production",3525.199
"Total primary production/total respiration",1.463587
"Net system production",1116.597
"Total primary production/total biomass",8.239245
"Total biomass/total throughput",0.03013481
"Total biomass (excluding detritus)",427.8546
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002154
"Total market value",2.14144
"Total shadow value",0.07085832
"Total value",2.212298
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991468
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03821
