GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001031227,0.05063871,5.891967,0,0.008594534,0,0,0,0,0.05063871,1
2,Salmon_sharks,0.22012,0.1040626,6.120154,0.500859,0.01700327,0.0521207,0,0,0,0.05194193,0.4991411
3,Resident_orca,0.01474097,0.05004331,8.393067,0,0.005962458,0,0,0,0,0.05004331,1
4,Sleeper_sharks,0.1113089,0.06740829,3.594617,0,0.01875257,0,0,0,0,0.06740829,1
5,Halibut,0.6740788,0.330479,1.745373,0.2394745,0.1893458,0.025434,0.0537073,0,0,0.2513377,0.923039
6,Pinnipeds,0.0707272,0.05958441,25.78082,0.8333722,0.002311191,0.009328477,0.04032752,0,0,0.009928417,0.843441
7,Porpoise,0.01458606,0.1518413,29.42966,0.9428313,0.005159464,0.0002761486,0.1428846,0,0,0.008680572,0.9981813
8,Lingcod,0.07829434,0.5851849,3.432539,0.8031688,0.1704816,0.02028819,0.4497141,0,0,0.1151826,0.9653303
9,Arrowtooth_L,3.891467,0.2577407,1.472424,0.1350221,0.1750452,0.0003751521,0.03442553,0,0,0.2229401,0.9985445
10,Salmon_L,3.448647,1.530023,11.82926,0.6810129,0.1293423,0.5392028,0.5027628,0,0,0.4880577,0.6475853
11,Pacific_cod,0.2983632,1.249387,3.958072,0.6557399,0.3156555,0.2223876,0.5968854,0,0,0.4301142,0.8220026
12,Sablefish,0.4762074,0.5498936,6.311002,0.8969393,0.08713253,0.03929025,0.4539309,0,0,0.05667243,0.9285493
13,Arrowtooth_S,0.2425314,0.2129178,3.321883,0.921257,0.06409553,0,0.1961521,0,0,0.01676579,1
14,Spiny_dogfish,0.1586048,0.08928232,3.024338,0.7718864,0.02952128,0,0.06891581,0,0,0.02036651,1
15,Avian_raptors,0.003331979,0.05050037,35.97665,0,0.001403699,0,0,0,0,0.05050037,1
16,Octopods,0.1498413,3.225422,11.73677,0.9484893,0.2748135,0.001542214,3.057736,0,0,0.1661437,0.9995219
17,Seabirds,0.02160314,0.1685946,150.0462,0.6896912,0.001123618,0,0.1162782,0,0,0.05231638,1
18,Deep_demersals,0.9931358,0.9879791,3.185435,0.9401703,0.3101552,0.00272055,0.926148,0,0,0.05911051,0.9972463
19,Pollock_L,4.943641,1.290795,2.616989,0.5698071,0.4932368,0.03296033,0.7025441,0,0,0.555291,0.9744651
20,Rockfish,1.043104,0.3001648,3.444159,0.7664838,0.08715183,0.01314254,0.2169289,0,0,0.07009332,0.9562156
21,Baleen_whales,0.1500636,0.05020277,10.66369,0.07681767,0.004707822,0,0.00385646,0,0,0.04634631,1
22,Salmon_fry_S,0.7963479,2.171924,26.9722,0.168137,0.08052454,0,0.3651808,0,0,1.806743,1
23,Nshore_demersal,4.276458,1.025191,4.321421,0.757469,0.2372347,3.757553E-05,0.7765129,0,0,0.2486406,0.9999633
24,Squids,2.971445,3.00598,14.8061,0.9267905,0.2030231,3.94436E-05,2.785875,0,0,0.2200664,0.9999869
25,Eulachon,1.092992,2.494886,18.41249,0.6715503,0.1354996,0.0001195373,1.675322,0,0,0.8194445,0.9999521
26,Sea_otters,0.04149494,0.1323244,116.605,0.005302195,0.001134808,4.278209E-06,0.0006973313,0,0,0.1316227,0.9999677
27,Deep_epibenthos,29.19234,3.007015,10.15645,0.9527539,0.2960695,0.000160138,2.864784,0,0,0.1420697,0.9999468
28,Capelin,0.4619539,3.538223,17.52938,0.5226614,0.2018453,0.0001389552,1.849154,0,0,1.68893,0.9999607
29,Herring_L,2.956749,0.3900211,3.379819,0.970156,0.1153971,0.0003567131,0.3780247,0,0,0.01163981,0.9990854
30,Pollock_S,0.6081104,2.33941,7.372101,0.3938242,0.3173328,0,0.9213162,0,0,1.418093,1
31,Invert_eat_seaduck,0.0002630412,0.203094,145.373,0.7491477,0.001397054,0,0.1521474,0,0,0.05094659,1
32,Oystercatchers,0.0003002383,0.306079,147.5804,0.9131286,0.002073981,0,0.2794894,0,0,0.02658952,1
