parameter,value
"Total consumption",6716.871
"Sum of all exports",1152.985
"Sum of all respiratory flows",2360.185
"Sum of all flows into detritus",3847.911
"Total system throughput",14077.95
"Sum of all production",5219.553
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006600754
"Calculated total net primary production",3459.634
"Total primary production/total respiration",1.465832
"Net system production",1099.449
"Total primary production/total biomass",8.026152
"Total biomass/total throughput",0.03061846
"Total biomass (excluding detritus)",431.0452
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000881
"Total market value",2.14144
"Total shadow value",0.07303154
"Total value",2.214471
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.50132
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033842
