parameter,value
"Total consumption",6749.988
"Sum of all exports",1074.423
"Sum of all respiratory flows",2410.581
"Sum of all flows into detritus",3820.732
"Total system throughput",14055.73
"Sum of all production",5159.708
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006658338
"Calculated total net primary production",3429.714
"Total primary production/total respiration",1.422775
"Net system production",1019.133
"Total primary production/total biomass",8.001334
"Total biomass/total throughput",0.03049595
"Total biomass (excluding detritus)",428.6427
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200412
"Total market value",2.14144
"Total shadow value",0.06834098
"Total value",2.209781
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4966296
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027518
