parameter,value
"Total consumption",6764.196
"Sum of all exports",1157.187
"Sum of all respiratory flows",2420.401
"Sum of all flows into detritus",3921.65
"Total system throughput",14263.43
"Sum of all production",5251.598
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006481644
"Calculated total net primary production",3523.21
"Total primary production/total respiration",1.455631
"Net system production",1102.809
"Total primary production/total biomass",8.208949
"Total biomass/total throughput",0.03009033
"Total biomass (excluding detritus)",429.1914
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004379
"Total market value",2.14144
"Total shadow value",0.07116599
"Total value",2.212606
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994546
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032456
