parameter,value
"Total consumption",6811.819
"Sum of all exports",1147.659
"Sum of all respiratory flows",2444.205
"Sum of all flows into detritus",3909.113
"Total system throughput",14312.79
"Sum of all production",5269.565
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006457684
"Calculated total net primary production",3536.282
"Total primary production/total respiration",1.446803
"Net system production",1092.078
"Total primary production/total biomass",8.216348
"Total biomass/total throughput",0.03007071
"Total biomass (excluding detritus)",430.3959
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003016
"Total market value",2.14144
"Total shadow value",0.07443974
"Total value",2.21588
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5027283
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035747
