parameter,value
"Total consumption",6707.812
"Sum of all exports",1052.602
"Sum of all respiratory flows",2373.745
"Sum of all flows into detritus",3803.813
"Total system throughput",13937.97
"Sum of all production",5114.265
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006771088
"Calculated total net primary production",3372.603
"Total primary production/total respiration",1.420794
"Net system production",998.8584
"Total primary production/total biomass",7.821987
"Total biomass/total throughput",0.03093489
"Total biomass (excluding detritus)",431.1696
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001411
"Total market value",2.14144
"Total shadow value",0.07042849
"Total value",2.211868
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.498717
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028804
